file,line,column,kind,raw_string,suggested_key,context
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,52,34,inline_template_text,Total,administration.audit-log.text.total,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,66,33,inline_template_text,entrées,administration.audit-log.text.entrees,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,76,45,inline_template_attr,"Utilisateur, entité, ref, détail…",administration.audit-log.label.utilisateur-entite-ref-detail,placeholder=…
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,80,27,inline_template_text,Tous utilisateurs,administration.audit-log.text.tous-utilisateurs,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,85,27,inline_template_text,Toutes actions,administration.audit-log.text.toutes-actions,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,90,27,inline_template_text,Tous types,administration.audit-log.text.tous-types,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,104,38,inline_template_text,/  total,administration.audit-log.text.total,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,117,16,inline_template_text,Utilisateur,administration.audit-log.text.utilisateur,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,119,16,inline_template_text,Type entité,administration.audit-log.text.type-entite,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,120,16,inline_template_text,Référence,administration.audit-log.text.reference,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,121,16,inline_template_text,Détail,administration.audit-log.text.detail,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,141,26,inline_template_text,Détail complet,administration.audit-log.text.detail-complet,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,147,48,inline_template_text,Aucune entrée ne correspond aux filtres.,administration.audit-log.text.aucune-entree-ne-correspond,>…<
app/applications/erp/pages/administration/audit-log/erp-audit-log.page.ts,156,96,inline_template_text,← Précédente,administration.audit-log.text.precedente,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,33,54,inline_template_text,✓ Banque enregistrée,administration.banques.text.banque-enregistree,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,34,56,inline_template_text,✓ Banque supprimée,administration.banques.text.banque-supprimee,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,46,37,inline_template_text,Ajouter une banque au référentiel,administration.banques.text.ajouter-une-banque-au,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,57,23,inline_template_text,SWIFT / BIC (8 car.) *,administration.banques.text.swift-bic-car,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,90,83,inline_template_text,Annuler,administration.banques.text.annuler,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,91,79,inline_template_text,Créer la banque,administration.banques.text.creer-la-banque,>…<
app/applications/erp/pages/administration/banques/banques.page.ts,141,84,inline_template_text,Éditer,administration.banques.text.editer,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,32,16,inline_template_text,Société modèle : SOMACOM BTP SARL,administration.demo-reset.text.societe-modele-somacom-btp,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,34,15,inline_template_text,Périmètre démo : 6 chantiers actifs · 12 marchés (4 publics + 8 privés) · 15 employés · 8 fournisseurs · HSE complet,administration.demo-reset.text.perimetre-demo-chantiers-actifs,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,43,18,inline_template_text,Réinitialiser toutes les données,administration.demo-reset.text.reinitialiser-toutes-les-donnees,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,44,17,inline_template_text,Recharge le seed demo complet. Efface toutes les modifications locales (localStorage). Idéal avant une démo client.,administration.demo-reset.text.recharge-le-seed-demo,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,54,18,inline_template_text,Exporter l'état actuel,administration.demo-reset.text.exporter-etat-actuel,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,55,17,inline_template_text,Télécharge un snapshot JSON de toutes les données mockées (utile pour backup ou partage équipe).,administration.demo-reset.text.telecharge-un-snapshot-json,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,70,14,inline_template_text,Contenu du seed démo,administration.demo-reset.text.contenu-du-seed-demo,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,73,75,inline_template_text,Marchés BTP,administration.demo-reset.text.marches-btp,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,77,75,inline_template_text,Employés,administration.demo-reset.text.employes,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,79,74,inline_template_text,Approbations en cours,administration.demo-reset.text.approbations-en-cours,>…<
app/applications/erp/pages/administration/demo-reset/demo-reset.page.ts,81,74,inline_template_text,EPI à surveiller,administration.demo-reset.text.epi-surveiller,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,63,61,inline_template_text,✓ Rôle enregistré,administration.erp-roles.text.role-enregistre,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,64,61,inline_template_text,↺ Rôle système restauré aux valeurs seed,administration.erp-roles.text.role-systeme-restaure-aux,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,65,63,inline_template_text,✓ Rôle supprimé,administration.erp-roles.text.role-supprime,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,71,38,inline_template_text,Rôles (),administration.erp-roles.text.roles,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,88,80,inline_template_text,Annuler,administration.erp-roles.text.annuler,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,89,99,inline_template_text,Créer,administration.erp-roles.text.creer,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,105,53,inline_template_text,Système,administration.erp-roles.text.systeme,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,110,55,inline_template_text,Modifié,administration.erp-roles.text.modifie,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,137,91,inline_template_text,Supprimer,administration.erp-roles.text.supprimer,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,147,49,inline_template_text,) — accès à tout l'ERP,administration.erp-roles.text.acces-tout-erp,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,149,33,inline_template_text,Cocher une cellule pour accorder,administration.erp-roles.text.cocher-une-cellule-pour,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,149,92,inline_template_text,. Toggle « Tout » par ligne pour,administration.erp-roles.text.toggle-tout-par-ligne,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,157,45,inline_template_text,Tout (,administration.erp-roles.text.tout,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,191,23,inline_template_text,Voir la liste brute des permissions (),administration.erp-roles.text.voir-la-liste-brute,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,199,38,inline_template_text,Sélectionnez un rôle dans la liste à gauche.,administration.erp-roles.text.selectionnez-un-role-dans,>…<
app/applications/erp/pages/administration/erp-roles/erp-roles.page.ts,412,15,confirm,Restaurer ce rôle à sa définition seed initiale ?,administration.erp-roles.confirm.restaurer-ce-role-sa,confirm(…)
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,25,13,status_label,Net à payer,administration.mappings-comptables.status.net-payer,AMOUNT_SOURCE_LABELS.NET_A_PAYER
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,56,84,inline_template_text,Mappings total,administration.mappings-comptables.text.mappings-total,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,57,85,inline_template_text,Système,administration.mappings-comptables.text.systeme,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,60,133,inline_template_text,Personnalisés,administration.mappings-comptables.text.personnalises,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,61,105,inline_template_text,OD générées,administration.mappings-comptables.text.od-generees,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,78,38,inline_template_text,Journal des écritures auto-générées,administration.mappings-comptables.text.journal-des-ecritures-auto-generees,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,113,98,inline_template_attr,Supprimer,administration.mappings-comptables.label.supprimer,title=…
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,121,26,inline_template_text,Libellé,administration.mappings-comptables.text.libelle,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,122,38,inline_template_text,Débit,administration.mappings-comptables.text.debit,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,123,38,inline_template_text,Crédit,administration.mappings-comptables.text.credit,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,151,17,inline_template_text,Société,administration.mappings-comptables.text.societe,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,153,37,inline_template_text,Toutes (vue globale __ALL__),administration.mappings-comptables.text.toutes-vue-globale-all,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,160,17,inline_template_text,Opération sélectionnée,administration.mappings-comptables.text.operation-selectionnee,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,168,75,inline_template_text,Restaurer les défauts,administration.mappings-comptables.text.restaurer-les-defauts,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,178,55,inline_template_text,Système,administration.mappings-comptables.text.systeme,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,180,74,inline_template_text,Personnalisé,administration.mappings-comptables.text.personnalise,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,188,78,inline_template_text,Annuler les modifications,administration.mappings-comptables.text.annuler-les-modifications,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,191,102,inline_template_text,Supprimer,administration.mappings-comptables.text.supprimer,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,202,21,inline_template_text,Libellé écriture (template),administration.mappings-comptables.text.libelle-ecriture-template,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,211,21,inline_template_text,Libellé journal,administration.mappings-comptables.text.libelle-journal,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,216,36,inline_template_text,Lignes d'écriture,administration.mappings-comptables.text.lignes-ecriture,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,222,20,inline_template_text,Libellé,administration.mappings-comptables.text.libelle,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,223,20,inline_template_text,Montant source,administration.mappings-comptables.text.montant-source,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,233,44,inline_template_text,Débit,administration.mappings-comptables.text.debit,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,234,45,inline_template_text,Crédit,administration.mappings-comptables.text.credit,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,264,69,inline_template_text,+ Ajouter une ligne,administration.mappings-comptables.text.ajouter-une-ligne,>…<
app/applications/erp/pages/administration/mappings-comptables/mappings-comptables.page.ts,274,21,inline_template_text,Montant HT,administration.mappings-comptables.text.montant-ht,>…<
