file,line,column,kind,raw_string,suggested_key,context
app/applications/erp/approbations/services/approval-engine.service.ts,62,7,error,Aucun workflow actif pour le type ${entityType},approbations.services.error.aucun-workflow-actif-pour,throw new Error(…)
app/applications/erp/chantiers/mock/seeds.ts,854,11,error,Chantier ${id} introuvable dans seeds,chantiers.mock.error.chantier-id-introuvable-dans,throw new Error(…)
app/applications/erp/etudes/components/caution-tracker/caution-tracker.component.ts,16,33,inline_template_text,Définitive,etudes.components.text.definitive,>…<
app/applications/erp/etudes/components/caution-tracker/caution-tracker.component.ts,24,14,inline_template_text,Total cautions,etudes.components.text.total-cautions,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,6,28,template_text,Sous-détail = matériaux + main d'œuvre + frais généraux + bénéfice,etudes.components.text.sous-detail-materiaux-main-uvre,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,23,12,template_text,Unité,etudes.components.text.unite,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,26,29,template_text,Total MAD,etudes.components.text.total-mad,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,97,15,template_attr,Supprimer,etudes.components.label.supprimer,aria-label=…
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,106,32,template_text,Main d'œuvre,etudes.components.text.main-uvre,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,133,41,template_text,Sous-total déboursés,etudes.components.text.sous-total-debourses,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,138,24,template_text,Frais généraux,etudes.components.text.frais-generaux,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,153,24,template_text,Bénéfice,etudes.components.text.benefice,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,12,29,template_text,DPGF — Décomposition prix global et forfaitaire,etudes.components.text.dpgf-decomposition-prix-global,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,30,14,template_text,Désignation,etudes.components.text.designation,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,32,14,template_text,Unité,etudes.components.text.unite,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,35,32,template_text,Total HT,etudes.components.text.total-ht,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,77,19,template_attr,Ajouter ouvrage au chapitre,etudes.components.label.ajouter-ouvrage-au-chapitre,aria-label=…
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,87,19,template_attr,Supprimer le chapitre,etudes.components.label.supprimer-le-chapitre,aria-label=…
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,163,19,template_attr,Supprimer la ligne,etudes.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,186,19,template_attr,Supprimer la note,etudes.components.label.supprimer-la-note,aria-label=…
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,196,52,template_text,Total HT (avant remise globale),etudes.components.text.total-ht-avant-remise,>…<
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,9,28,template_text,"Formules acceptées : L*l*h*N, (L*l)-(L1*l1), etc.",etudes.components.text.formules-acceptees-l1-l1,>…<
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,30,14,template_text,Désignation,etudes.components.text.designation,>…<
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,36,14,template_text,Unité,etudes.components.text.unite,>…<
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,60,17,template_attr,Désignation libre,etudes.components.label.designation-libre,placeholder=…
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,144,17,template_attr,Supprimer la ligne,etudes.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,153,51,template_text,Total estimé,etudes.components.text.total-estime,>…<
app/applications/erp/etudes/mock/etudes-mock.service.ts,187,7,error,Métré ${id} introuvable,etudes.mock.error.metre-id-introuvable,throw new Error(…)
app/applications/erp/etudes/mock/etudes-mock.service.ts,289,7,error,Métré ${metreId} introuvable,etudes.mock.error.metre-metreid-introuvable,throw new Error(…)
app/applications/erp/finance/components/compte-financier-card/compte-financier-card.component.ts,49,42,inline_template_text,Mouvements ce mois,finance.components.text.mouvements-ce-mois,>…<
app/applications/erp/finance/components/compte-financier-card/compte-financier-card.component.ts,59,42,inline_template_text,Dépenses,finance.components.text.depenses,>…<
app/applications/erp/finance/components/compte-tree-picker/compte-tree-picker.component.ts,55,11,inline_template_attr,Rechercher compte (code ou libellé)…,finance.components.label.rechercher-compte-code-ou,placeholder=…
app/applications/erp/finance/components/compte-tree-picker/compte-tree-picker.component.ts,59,72,inline_template_text,Tout déplier,finance.components.text.tout-deplier,>…<
app/applications/erp/finance/components/compte-tree-picker/compte-tree-picker.component.ts,60,74,inline_template_text,Tout replier,finance.components.text.tout-replier,>…<
app/applications/erp/finance/components/compte-tree-picker/compte-tree-picker.component.ts,68,35,inline_template_text,Aucun compte ne correspond à la recherche.,finance.components.text.aucun-compte-ne-correspond,>…<
app/applications/erp/finance/components/condition-paiement-display/condition-paiement-display.component.ts,17,52,inline_template_text,défaut,finance.components.text.defaut,>…<
app/applications/erp/finance/components/imputation-picker/imputation-picker.component.ts,27,38,inline_template_text,Total dû :  MAD,finance.components.text.total-du-mad,>…<
app/applications/erp/finance/components/imputation-picker/imputation-picker.component.ts,30,17,inline_template_text,Montant total,finance.components.text.montant-total,>…<
app/applications/erp/finance/components/imputation-picker/imputation-picker.component.ts,60,18,inline_template_text,Date,finance.components.text.date,>…<
