"F","line","kind","raw_string"
"etudes/components/caution-tracker/caution-tracker.component.ts","16","inline_template_text","Définitive"
"etudes/components/caution-tracker/caution-tracker.component.ts","24","inline_template_text","Total cautions"
"etudes/components/composants-editor/composants-editor.component.html","106","template_text","Main d'œuvre"
"etudes/components/composants-editor/composants-editor.component.html","133","template_text","Sous-total déboursés"
"etudes/components/composants-editor/composants-editor.component.html","138","template_text","Frais généraux"
"etudes/components/composants-editor/composants-editor.component.html","153","template_text","Bénéfice"
"etudes/components/composants-editor/composants-editor.component.html","23","template_text","Unité"
"etudes/components/composants-editor/composants-editor.component.html","26","template_text","Total MAD"
"etudes/components/composants-editor/composants-editor.component.html","6","template_text","Sous-détail = matériaux + main d'œuvre + frais généraux + bénéfice"
"etudes/components/composants-editor/composants-editor.component.html","97","template_attr","Supprimer"
"etudes/components/dpgf-editor/dpgf-editor.component.html","12","template_text","DPGF — Décomposition prix global et forfaitaire"
"etudes/components/dpgf-editor/dpgf-editor.component.html","163","template_attr","Supprimer la ligne"
"etudes/components/dpgf-editor/dpgf-editor.component.html","186","template_attr","Supprimer la note"
"etudes/components/dpgf-editor/dpgf-editor.component.html","196","template_text","Total HT (avant remise globale)"
"etudes/components/dpgf-editor/dpgf-editor.component.html","30","template_text","Désignation"
"etudes/components/dpgf-editor/dpgf-editor.component.html","32","template_text","Unité"
"etudes/components/dpgf-editor/dpgf-editor.component.html","35","template_text","Total HT"
"etudes/components/dpgf-editor/dpgf-editor.component.html","77","template_attr","Ajouter ouvrage au chapitre"
"etudes/components/dpgf-editor/dpgf-editor.component.html","87","template_attr","Supprimer le chapitre"
"etudes/components/metre-table-editor/metre-table-editor.component.html","144","template_attr","Supprimer la ligne"
"etudes/components/metre-table-editor/metre-table-editor.component.html","153","template_text","Total estimé"
"etudes/components/metre-table-editor/metre-table-editor.component.html","30","template_text","Désignation"
"etudes/components/metre-table-editor/metre-table-editor.component.html","36","template_text","Unité"
"etudes/components/metre-table-editor/metre-table-editor.component.html","60","template_attr","Désignation libre"
"etudes/components/metre-table-editor/metre-table-editor.component.html","9","template_text","Formules acceptées : L*l*h*N, (L*l)-(L1*l1), etc."
"etudes/mock/etudes-mock.service.ts","187","error","Métré ${id} introuvable"
"etudes/mock/etudes-mock.service.ts","289","error","Métré ${metreId} introuvable"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","27","status_label","Signé MOE"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","28","status_label","Contresigné MOA"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","29","status_label","Contesté"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","43","inline_template_attr","Chantier, date…"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","46","inline_template_text","Tous les statuts"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","69","inline_template_text","✍️ Signé"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","77","inline_template_text","Unité"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","77","inline_template_text","Qté exécutée"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","77","inline_template_text","Désignation"
"pages/chantiers/attachements/attachement-listing/attachement-listing.page.ts","93","inline_template_text","Aucun attachement trouvé."
"pages/chantiers/attachements/attachement-saisie/attachement-saisie.page.ts","40","inline_template_text","Ensoleillé"
"pages/chantiers/attachements/attachement-saisie/attachement-saisie.page.ts","54","inline_template_text","Lignes exécutées"
"pages/chantiers/attachements/attachement-saisie/attachement-saisie.page.ts","58","inline_template_attr","Désignation"
"pages/chantiers/attachements/attachement-saisie/attachement-saisie.page.ts","60","inline_template_attr","Unité"
"pages/chantiers/attachements/attachement-saisie/attachement-saisie.page.ts","67","inline_template_text","Signature MOE (démo)"
"pages/chantiers/attachements/attachement-saisie/attachement-saisie.page.ts","68","inline_template_text","Signez dans le cadre ci-dessous (aperçu PNG léger, stocké avec le brouillon)."
"pages/chantiers/avancements/avancement-saisie/avancement-saisie.page.html","25","template_text","Date *"
"pages/chantiers/avancements/avancement-saisie/avancement-saisie.page.html","3","template_text","← Retour"
"pages/chantiers/avancements/avancement-saisie/avancement-saisie.page.html","35","template_text","Lots a saisir"
