file,line,column,kind,raw_string,suggested_key,context
app/applications/erp/approbations/services/approval-engine.service.ts,62,7,error,Aucun workflow actif pour le type ${entityType},approbations.services.error.aucun-workflow-actif-pour,throw new Error(…)
app/applications/erp/chantiers/mock/seeds.ts,854,11,error,Chantier ${id} introuvable dans seeds,chantiers.mock.error.chantier-id-introuvable-dans,throw new Error(…)
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,6,28,template_text,Sous-détail = matériaux + main d'œuvre + frais généraux + bénéfice,etudes.components.text.sous-detail-materiaux-main-uvre,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,23,12,template_text,Unité,etudes.components.text.unite,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,26,29,template_text,Total MAD,etudes.components.text.total-mad,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,97,15,template_attr,Supprimer,etudes.components.label.supprimer,aria-label=…
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,106,32,template_text,Main d'œuvre,etudes.components.text.main-uvre,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,133,41,template_text,Sous-total déboursés,etudes.components.text.sous-total-debourses,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,138,24,template_text,Frais généraux,etudes.components.text.frais-generaux,>…<
app/applications/erp/etudes/components/composants-editor/composants-editor.component.html,153,24,template_text,Bénéfice,etudes.components.text.benefice,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,12,29,template_text,DPGF — Décomposition prix global et forfaitaire,etudes.components.text.dpgf-decomposition-prix-global,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,30,14,template_text,Désignation,etudes.components.text.designation,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,32,14,template_text,Unité,etudes.components.text.unite,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,35,32,template_text,Total HT,etudes.components.text.total-ht,>…<
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,77,19,template_attr,Ajouter ouvrage au chapitre,etudes.components.label.ajouter-ouvrage-au-chapitre,aria-label=…
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,87,19,template_attr,Supprimer le chapitre,etudes.components.label.supprimer-le-chapitre,aria-label=…
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,163,19,template_attr,Supprimer la ligne,etudes.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,186,19,template_attr,Supprimer la note,etudes.components.label.supprimer-la-note,aria-label=…
app/applications/erp/etudes/components/dpgf-editor/dpgf-editor.component.html,196,52,template_text,Total HT (avant remise globale),etudes.components.text.total-ht-avant-remise,>…<
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,9,28,template_text,"Formules acceptées : L*l*h*N, (L*l)-(L1*l1), etc.",etudes.components.text.formules-acceptees-l1-l1,>…<
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,30,14,template_text,Désignation,etudes.components.text.designation,>…<
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,36,14,template_text,Unité,etudes.components.text.unite,>…<
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,60,17,template_attr,Désignation libre,etudes.components.label.designation-libre,placeholder=…
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,144,17,template_attr,Supprimer la ligne,etudes.components.label.supprimer-la-ligne,aria-label=…
app/applications/erp/etudes/components/metre-table-editor/metre-table-editor.component.html,153,51,template_text,Total estimé,etudes.components.text.total-estime,>…<
app/applications/erp/etudes/mock/etudes-mock.service.ts,187,7,error,Métré ${id} introuvable,etudes.mock.error.metre-id-introuvable,throw new Error(…)
app/applications/erp/etudes/mock/etudes-mock.service.ts,289,7,error,Métré ${metreId} introuvable,etudes.mock.error.metre-metreid-introuvable,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,170,7,error,Aucune ligne sélectionnée.,finance.mock.error.aucune-ligne-selectionnee,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,178,26,error,Ligne introuvable pour ${key},finance.mock.error.ligne-introuvable-pour-key,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,341,18,error,Écriture ${id} introuvable,finance.mock.error.ecriture-id-introuvable,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,344,7,error,Une écriture clôturée ne peut pas être modifiée.,finance.mock.error.une-ecriture-cloturee-ne,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,376,18,error,Écriture ${id} introuvable,finance.mock.error.ecriture-id-introuvable,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,379,7,error,Écriture non équilibrée — impossible de valider.,finance.mock.error.ecriture-non-equilibree-impossible,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,400,7,error,Seules les écritures BROUILLON peuvent être supprimées.,finance.mock.error.seules-les-ecritures-brouillon,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,409,15,error,Écriture ${id} introuvable,finance.mock.error.ecriture-id-introuvable,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,411,7,error,Seule une écriture VALIDEE peut être contre-passée.,finance.mock.error.seule-une-ecriture-validee,throw new Error(…)
app/applications/erp/finance/mock/finance-comptabilite-mock.service.ts,534,7,error,Seule une facture BROUILLON peut être supprimée.,finance.mock.error.seule-une-facture-brouillon,throw new Error(…)
